,KW-Name,Brutto­leistungin MWel,Wärmeaus­kopplungin MWth,Energie­träger,Standort,Bun­des­land,Inbetrieb­nahme/Ertüchtigung,(geplante)Still­legung,Bemerkungen,Betreiber,Koordinaten
68,"Heizkraftwerk Dresden Nossener Brücke[64]
","270
","480
","Erdgas
Heizöl

","Dresden
","Sachsen Sachsen
","1995
","0!
","260 MW (Netto)
GuD-Kraftwerk

","Stadtwerke Dresden GmbH
","!551.0417975513.708222551° 02′ 30,5″ N, 013° 42′ 29,6″ O51.04179722222213.708222222222
"
69,"Heizkraftwerk Dresden-Reick[64]
","2
","266
(460 MWh Wärmespeicher)

","Erdgas

Heizöl

","Dresden
","Sachsen Sachsen
","1976/92/96/2005
","0!
","2 MW (Netto)
Bau eines Gasmotorenkraftwerkes mit 90 MWel und 80 MWth geplant[65]

","Stadtwerke Dresden GmbH
","
"
70,"GuD-Anlage Drewsen[66]
","17
","?
","Erdgas
","Lachendorf
","Niedersachsen Niedersachsen
","2000
","
","13 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik

","Drewsen Spezialpapiere GmbH & Co. KG
","
"
71,"Heizkraftwerk Duisburg-Hamborn[67]
","412
","150
","Kuppelgase aus der Stahlerzeugung
","Duisburg-Hamborn
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block 1: 1952
Block 2: 1952
Block 3: 1958
Block 4: 1976
Block 5: 2003

","Block 1: 2003?
Block 2: 2003?0!



","Block 1: ca. 27 MW (Netto)
Block 2: ca. 27 MW (Netto)
Block 3: 59 MW (Netto)
Block 4: 101 MW (Netto)
Block 5: 225 MW (Netto)
Eigenstrom- und Dampfversorgung für das ThyssenKrupp-Stahlwerk Schwelgern

","ThyssenKrupp Steel Europe AG
","
"
72,"Heizkraftwerk Sachtleben[3] (Heizkraftwerk Duisburg-Homberg)
","ca. 30
","?
","Braunkohle
","Duisburg-Homberg
","Nordrhein-Westfalen Nordrhein-Westfalen
","1964
","0!
","28 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Pigmentfabrik

","Venator Germany GmbH
","51°26' 18,4"" N,  006°41' 53,2"" O
"
73,"Kraftwerk Duisburg-Walsum[68]
","1200
","150
(295 möglich)

","Steinkohle
","Duisburg-Walsum
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block 6: 1957
Block 7: 1959
Block 8: 1960
Block 9: 1988
Block 10: 2013

","0!Block 6: 1988Block 7: 2014Block 8: 1988Block 9: ?Block 10: ?
","Block 6: 60 MW (Netto)
Block 7: 129 MW (Netto)
Block 8: 129 MW (Netto)
Block 9: 370 MW (Netto)
Block 10: 725 MW (Netto)

","Block 9: Steag GmbH
Block 19: STEAG-EVN Walsum Kraftwerksgesellschaft mbH

","!551.5285585506.714594551° 31′ 42,8″ N, 006° 42′ 52,5″ O51.5285583333336.7145944444444
"
74,"Heizkraftwerk Duisburg-Wanheim[69]
","286
","255 (1450 MWh Wärmespeicher)
","Erdgas, Heizöl
","Duisburg-Wanheim
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block III A: 2002
Block III B: 2005

","0!
","Block III A: 40 MW (Netto)
Block III B: 234 MW (Netto)

","Stadtwerke Duisburg AG
","
"
75,"Düren KANZAN Spezialpapiere GmbH / Getec AG
","1,0
","
","Braunkohle
","Düren
","Nordrhein-Westfalen Nordrhein-Westfalen
","2010
","
","0!
","Getec-Gruppe
","
"
76,"Kombinationskraftwerk Eilenburg[3]
","ca. 50
","?
","Erdgas
EBS (Reste aus Papierherstellung)

","Eilenburg
","Sachsen Sachsen
","1993
","
","47 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik

","Stora Enso Sachsen GmbH
","
"
77,"Kraftwerk Eisenhüttenstadt[70]
","116
","80
","EBS (Konvertergas)
","Eisenhüttenstadt
","Brandenburg Brandenburg
","Block ?: 1954/1998
Block 7: 2013
(Block 8: 2021[71])

","0!
","Block ?: 45 MW (Netto)
Block 7: 56 MW (Netto)
Block 8: ?
Eigenstrom- und Dampfversorgung für das örtliche Stahlwerk; Wärme-auskopplung zur Fernwärme-versorgung der Stadt

","ArcelorMittal Eisenhüttenstadt GmbH
","
"
78,"Elsdorf
","13
","
","Braunkohle
","Elsdorf (Rheinland)
","Nordrhein-Westfalen Nordrhein-Westfalen
","2000
","0!
","
","Pfeifer & Langen GmbH & Co. KG
","50° 55'  54.7"" N, 006° 33' 49.0"" O
"
79,"Heizkraftwerk Eltmann[3]
","ca. 60
","?
","Erdgas
","Eltmann
","Bayern Bayern
","2007
","0!
","57 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik

","Palm Power GmbH & Co. KG
","49° 59' 5.071""  N, 010° 39' 6.916"" O
"
80,"Kraftwerk Emden[72]
","472 (davon 450 Erdgas und 22 Biomasse)
","30
","Erdgas: GT und DT
Biomasse: Block 5

","Emden
","Niedersachsen Niedersachsen
","GT: 1973
DT: 1973
Block 5: 2005

","0!GT: ?
DT: von 2001 bis 2006 und seit 2012[73] (Kaltreserve)
Block 5: ?

","GT: 50 (52) MW (Netto)
DT: 380 (433) MW (Netto)
Block 5: 20 (22) MW (Netto)
je nach Quelle unterschiedliche Leistungsangaben

","Statkraft Markets GmbH
","!553.3414725507.206306553° 20′ 29,3″ N, 007° 12′ 22,7″ O53.3414722222227.2063055555556
"
81,"Heizkraftwerk Erfurt-Iderhoffstraße[3]
","ca. 12
","? (250 MWh Wärmespeicher)
","Erdgas
","Erfurt
","Thüringen Thüringen
","1996
","
","11 MW (Netto)
","Stadtwerke Erfurt Energie GmbH
","
"
82,"Kraftwerk Erfurt-Ost[74][75]
","115
","283 (davon 173 aus KWK)
","Erdgas
","Erfurt
","Thüringen Thüringen
","GuD 1: 1999
GuD 2: 2014

","0!
","GuD 1: 77 MW (Netto)
GuD 2: 33 MW (Netto)

","Stadtwerke Erfurt Energie GmbH
","
"
83,"Heizkraftwerk Erlangen[76]
","ca. 50 (davon ca. 30 Steinkohle und ca. 30 Erdgas)
","208
","Steinkohle: K6 DT2
Erdgas: GuD 1, GuD 2
Heizöl: K6 DT2

","Erlangen
","Bayern Bayern
","K6 DT2: 1982
GuD 1: 2005
GuD 2: 2014

","2021!(K6 GT2: 2021[77])


","K6 GT2: 17 MW (Netto)
GuD 1: 22 MW (Netto)
GuD 2: 7 MW (Netto)

","Erlanger Stadtwerke AG
","!549.5937505510.999972549° 35′ 37,5″ N, 010° 59′ 59,9″ O49.5937510.999972222222
"
84,"Industriekraftwerk Euskirchen[3]
","ca. 18
","?
","Braunkohle
","Euskirchen
","Nordrhein-Westfalen Nordrhein-Westfalen
","1998
","0!
","15 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Zuckerfabrik

","Pfeifer & Langen GmbH & Co. KG
","50° 39'  26.9"" N, 006° 48' 36.9"" O
"
85,"Heizkraftwerk Flensburg[78]
","206
","291 (1100 MWh Wärmespeicher)
","Steinkohle: K9, K10, K11Erdgas: K5/T7, K12, K13
EBS (Müll): K9, K10, K11
Biomasse: K9, K10, K11

","Flensburg
","Schleswig-Holstein Schleswig-Holstein
","K5/T7: 1974/2016
K7: 1978
K8: 1982
K9: 1985
K10: 1988
K11: 1992
K12: 2016
(K13: 2022)

","2022!K5/T7: ?
K7: 2016
K8: 2016
(K9: 2022)
(K10: 2022[79])
K11: ?
K12: ?
K13: ?

","K5/T7: 29 MW (Netto)
K7: 23 MW (Netto)
K8: 35 MW (Netto)
K9: 33 MW (Netto)
K10: 33 MW (Netto)
K11: 33 MW (Netto)
K12 (GuD): 78 MW (Netto)

K13: bis 2022 Neubau eines erdgasbetriebenen GuDs mit 70 MWel und 70 MWth, danach Stilllegung von zwei Kohlekesseln[79]

","Stadtwerke Flensburg GmbH
","!554.8038065509.433167554° 48′ 13,7″ N, 009° 25′ 59,4″ O54.8038055555569.4331666666667
"
86,"Kraftwerk Franken I[80]
","843
","30
","Heizöl
Erdgas

","Nürnberg
","Bayern Bayern
","Block 1: 1973
Block 2: 1976

","0!
","Block 1: 383 MW (Netto)
Block 2: 440 MW (Netto)
(davon insgesamt 60 MW Bahnstrom)

","Uniper Kraftwerke GmbH
","!549.4208005511.007678549° 25′ 14,9″ N, 011° 00′ 27,6″ O49.420811.007677777778
"
87,"Heizkraftwerk Frankfurt (Oder)[81]
","50
","80
(ca. 300 MWh Wärmespeicher im Bau)

","Braunkohle
","Frankfurt (Oder)
","Brandenburg Brandenburg
","1997
","2022!(2022)
","45 MW (Netto)
(Gasmotorenkraftwerk mit 50 MWel und ca. 50 MWth im Bau[82])

","Stadtwerke Frankfurt (Oder) GmbH
","52° 19' 6.222""N, 014° 31' 52.928"" O
"
88,"Heizkraftwerk Frankfurt-Allerheiligenstraße[83]
","4
","58 (davon 4 aus KWK)
","Erdgas
","Frankfurt am Main
","Hessen Hessen
","1953
","
","4 MW (Netto)
","Mainova AG
","
"
89,"Heizkraftwerk Frankfurt-Messe[83]
","5
","112 (davon 5 aus KWK)
","Erdgas
","Frankfurt am Main
","Hessen Hessen
","1987
","
","5 MW (Netto)
","Mainova AG
","
"
90,"Heizkraftwerk Frankfurt-Niederrad[83]
","ca. 75
","235
","Erdgas
","Frankfurt am Main
","Hessen Hessen
","Block 1: 2004
Block 2: 1973

","Block 1: ?Block 2: 2017
","Block 1: 70 MW (Netto)
Block 2: 56 MW (Netto)

","Mainova AG
","50° 5' 55.028""  N, 008° 39' 17.95"" O
"
91,"Heizkraftwerk Frankfurt-West[83]
","273 (davon 139 Steinkohle und ca. 144 Erdgas)
","430
","Steinkohle: Blöcke 2, 3Erdgas: Blöcke 4, M4, M5
","Frankfurt am Main
","Hessen Hessen
","Block 2: 1988
Block 3: 1989
Block 4: 1994
Block M4: 1994?
Block M5: 2018

","2030!(Block 2: um 2025)(Block 3: um 2025)[84]Block 4: ?
Block M4: 2016Block M5: ?

","Block 2: 62 MW (Netto)
Block 3: 62 MW (Netto)
Block 4: 99 MW (Netto)
Block M4: 20 MW (Netto)
Block M5: 39 MW (Netto)

","Mainova AG
","!550.0983335508.653361550° 05′ 54,0″ N, 008° 39′ 12,1″ O50.0983333333338.6533611111111
"
92,"Heizkraftwerk Frankfurt-Fechenheim 1+2
","20
","?
","Braunkohle
","Frankfurt am Main
","Hessen Hessen
","2011
","0!
","Eigenstrom- und Dampfversorgung für den örtlichen Chemiepark
","AlessaChemie GmbH
Getec AG

","
"
93,"Heizkraftwerk Frankfurt-Griesheim
","ca. 20
","?
","Braunkohle
","Frankfurt am Main
","Hessen Hessen
","2016
","0!2019? (die örtlichen Chemiebetriebe haben 2019 die Produktion eingestellt[85])
","Eigenstrom- und Dampfversorgung für den örtlichen Chemiepark
","WeylChem Griesheim GmbH
Getec Heat&Power AG

","
"
94,"Industriekraftwerk Frechen/Wachtberg[86]
","201
","251
","Braunkohle
","Frechen
","Nordrhein-Westfalen Nordrhein-Westfalen
","1959/1988
","0!
","176 MW (Netto)
Eigenstrom- und Dampfversorgung für den Kohleveredlungsbetrieb Frechen 

","RWE Power AG
","
"
95,"Heizkraftwerk Freiberg[87]
","14
","ca. 75 (davon 18 aus KWK; 140 MWh Wärmespeicher)
","Erdgas
","Freiberg
","Sachsen Sachsen
","2013
","
","13 MW (Netto)
","Stadtwerke Freiberg AG
","
"
96,"Wärmeverbundkraftwerk Freiburg[3]
","60
","?
","Erdgas
","Freiburg im Breisgau
","Baden-Württemberg Baden-Württemberg
","1998
","0!
","40 MW (Netto)
","Rhodia Acetow GmbH
","48° 1' 14.887""  N, 007° 50' 45.823"" O
"
97,"Heizkraftwerk Unitversitätsklinik Freiburg[88]
","30
","? (ca. 50 MWh Wärmespeicher)
","Erdgas
Biomasse (Holzpellets)

","Freiburg im Breisgau
","Baden-Württemberg Baden-Württemberg
","2001
","0!
","27 MW (Netto)
","Universitätsklinikum Freiberg AdöR
","
"
98,"Kraftwerk Frimmersdorf[89]
","635
","30
","Braunkohle,
Papierschlamm

","Grevenbroich-Frimmersdorf
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block A: 1955
Block B: 1955
Block C: 1957
Block D: 1957
Block E: 1959
Block F: 1960
Block G: 1960
Block H: 1961
Block I: 1960
Block K: 1962
Block L: 1962
Block M: 1962
Block N: 1964
Block O: 1964
Block P: 1966/90
Block Q: 1970/90

","2021!
Block A: 1988
Block B: 1988
Block C: 2011
Block D: 2011
Block E: 2012
Block F: 2012
Block G: 2011
Block H: 2005
Block I: 2012
Block K: 2012
Block L: 2012
Block M: 2012
Block N: 2012
Block O: 2012
(Block P: 01.10.2021[49]; seit 01.10.2017 in der Sicherheitsbereitschaft)
(Block Q: wie Block P)

","Block A: 90 MW (Netto)
Block B: 90 MW (Netto)
Block C: 129 MW (Netto)
Block D: 130 MW (Netto)
Block E: 130 MW (Netto)
Block F: 132 MW (Netto)
Block G: 124 MW (Netto)
Block H: 130 MW (Netto)
Block I: 128 MW (Netto)
Block K: 136 MW (Netto)
Block L: 131 MW (Netto)
Block M: 138 MW (Netto)
Block N: 135 MW (Netto)
Block O: 133 MW (Netto)
Block P: 284 MW (Netto)
Block Q: 278 MW (Netto)

","RWE Power AG
","!551.0544975506.575919551° 03′ 16,2″ N, 006° 34′ 33,3″ O51.0544972222226.5759194444444
"
99,"Kraftwerk Fulda[3]
","ca. 27
","0
","Mineralölprodukte
","Fulda
","Hessen Hessen
","2011
","
","25 MW (Netto)
","RhönEnergie Fulda GmbH
","
"
100,"Industriekraftwerk Fulda[3]
","ca. 35
","?
","Erdgas
","Fulda
","Hessen Hessen
","Block 2: 1982
Block 3: 2012

","
","Block 2: 8 MW (Netto)
Block 3: 26 MW (Netto)
Eigenstrom- und Dampfversorgung für Papierfabrik

","Papierfabrik Adolf Jass GmbH & Co. KG
","
"
101,"Industriekraftwerk Gendorf[3]
","ca. 75
","?
","Erdgas
","Burgkirchen
","Bayern Bayern
","2002/17
","
","73 MW (Netto)
Eigenstrom- und Dampfversorgung für Chemiepark Gendorf

","InfaServ GmbH & Co. Gendorf KG
","
"
102,"Heizkraftwerk Gera-Lusan (ehemals Heizkraftwerk Gera-Nord)[90]
","18
","63 (davon 18 aus KWK)
","Erdgas
","Gera
","Thüringen Thüringen
","GuD 1: 1996
GuD 2: 1996
HKW Lusan: 2018

","GuD 1: 2018
GuD 2: 2018
HKW Lusan:

","GuD 1: 37 MW (Netto)
GuD 2: 37 MW (Netto)
HKW Lusan: 17 MW (Netto)

","Kraftwerke Gera GmbH
","!550.9069445512.061111550° 54′ 25,0″ N, 012° 03′ 40,0″ O50.90694444444412.061111111111
"
103,"Heizkraftwerk Gera-Titz[90]
","23
","83 (davon 23 aus KWK)
","Erdgas
","Gera
","Thüringen Thüringen
","HKW Tinz: 2018
","HKW Tinz:
","HKW Tinz: 22 MW (Netto)
","Kraftwerke Gera GmbH
","
"
104,"Heizkraftwerk Göttingen[91][92]
","22 (65)
","?
","Öl (Heizöl)
Erdgas

","Göttingen
","Niedersachsen Niedersachsen
","1967/1998
","0!
","19 (60) MW (Netto)
je nach Quelle unterschiedliche Leistungsangaben;
z. T. im Inselbetrieb

","Georg-August-Universität Göttingen Stiftung des öffentlichen Rechts
","!551.5536945509.934250551° 33′ 13,3″ N, 009° 56′ 03,3″ O51.5536944444449.93425
"
105,"Blockheizkraftwerk Universitätsklinik Göttingen[93]
","5
","5
","Erdgas
","Göttingen
","Niedersachsen Niedersachsen
","2018
","
","5 MW (Netto)
","Georg-August-Universität Göttingen Stiftung des öffentlichen Rechts
","
"
106,"Industriekraftwerk Greifswald[94]
","39
","47
","Erdgas
","Lubmin
","Mecklenburg-Vorpommern Mecklenburg-Vorpommern
","2013
","
","38 MW (Netto)
Abwärmenutzung zum Aufheizen von Erdgas aus der Northstream-Pipeline

","Industriekraftwerk Greifswald GmbH
","
"
107,"Kraftwerk Grenzach-Wyhlen[3]
","ca. 30
","?
","Erdgas
","Grenzach-Wyhlen
","Baden-Württemberg Baden-Württemberg
","2017
","
","30 MW (Netto)
Eigenstrom- und Dampfversorgung für die örtliche Pharmaproduktion

","KGW - Kraftwerk Grenzach-Wyhlen GmbH
","
"
108,"Industriekraftwerk Großenkneten[95]
","ca. 33
","ca. 30
","Erdgas
","Großenkneten
","Niedersachsen Niedersachsen
","2014
","
","30 MW (Netto)
Eigenstrom- und Dampfversorgung für Erdgasaufbereitung

","Exxon Mobil Production Deutschland GmbH
","
"
109,"Spitzenlastkraftwerk Großkayna[3]
","129
","0
","Öl (Heizöl)
","Großkayna
","Sachsen-Anhalt Sachsen-Anhalt
","1994
","0!
","120 MW (Netto)
","envia THERM GmbH
","
"
110,"Kraftwerk Staudinger[96]
","1191 (davon 553 Kohle und 638 Erdgas)
","300
","Steinkohle: Blöcke 1, 2, 3, 5
Erdgas: Block 4

","Großkrotzenburg
","Hessen Hessen
","Block 1: 1965Block 2: 1965Block 3: 1970Block 4: 1977Block 5: 1992
","2019!
Block 1: 2012/2013Block 2: 2012Block 3: 2012(Block 4: untersagt bis 1 Jahr nach Beginn der Engpassbewirtschaftung Deutschland/Österreich (1. Oktober 2018), längstens bis 4. Mai 2020[1])Block 5: ?

","Block 1: 249 MW (Netto)Block 2: 249 MW (Netto)Block 3: 293 MW (Netto)Block 4: 572 MW (Netto)Block 5: 510 MW (Netto)
","Uniper Kraftwerke GmbH
","!550.0882675508.951658550° 05′ 17,8″ N, 008° 57′ 06,0″ O50.0882666666678.9516583333333
"
111,"Heizkraftwerk Hagen-Kabel[97]
","ca. 275 (davon 251 Erdgas und ca. 24 Biomasse)
","108
","Block H4/5: Erdgas
BVA: Biomasse

","Hagen
","Nordrhein-Westfalen Nordrhein-Westfalen
","H4/5: 1981/2004
BVa: 2004

","H4/5: 2016 (Kaltreserve)


","H4/5: 230 MW (Netto)
BVA: 20 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik

","Mark-E AG
","
"
112,"Hainsberg Getec AG / Papierfabrik Hainsberg GmbH
","1,0
","5,0
","Braunkohle
","Hainsberg (Freital)
","Sachsen Sachsen
","2011
","0!
","
","Getec-Gruppe
","
"
113,"Heizkraftwerk Halle Dieselstraße[98]
","100
","120 (davon 68 aus KWK; 280 MWh Wärmespeicher und ca. 2000 MWh Wärmespeicher)
","Erdgas
","Halle
","Sachsen-Anhalt Sachsen-Anhalt
","GuD A: 2005
GuD B: 2005

","
","GuD A: 47 MW (Netto)
GuD B: 47 MW (Netto)
(GT C in Planung[99])

","Energieversorgung Halle GmbH (EVH)
","
"
114,"Heizkraftwerk Halle Trotha[100]
","58
","40
","Erdgas
","Halle
","Sachsen-Anhalt Sachsen-Anhalt
","GuD: 2012/2013
","
","GuD: 56 MW (Netto)
","Energieversorgung Halle GmbH (EVH)
","
"
115,"Heizkraftwerk Hamburg[3]
","ca. 25
","?
","Erdgas
Biogas

","Hamburg-Mitte
","Hamburg Hamburg
","1993
","
","23 MW (Netto)
Eigenstrom- und Dampfversorgung für Ölmühle und Biodieselproduktion

","ADM Hamburg AG
","
"
116,"Kohlekraftwerk Hamburg-Moorburg[101]
","1654
","240 (650 möglich)
","Steinkohle
","Hamburg-Moorburg
","Hamburg Hamburg
","Block A: 2015
Block B: 2015

","0!
Block A: ?
Block B: ?

","Block A: 800 MW (Netto)
Block B: 800 MW (Netto)
Umrüstung auf Gas geplant[102]

","Vattenfall Heizkraftwerk Moorburg GmbH
","!553.4881945509.949361553° 29′ 17,5″ N, 009° 56′ 57,7″ O53.4881944444449.9493611111111
"
117,"Kraftwerk Westfalen[103]
","820
","0
","Steinkohle
","Hamm-Schmehausen
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block A: 1963Block B: 1963Block C: 1969
Block D: nicht fertiggestelltBlock E: 2014

","0!Block A: 2014Block B: 2014Block C: 2016Block D: 2015Block E: ?
","Block A: 152 MW (Netto)Block B: 152 MW (Netto)Block C: 284 MW (Netto)Block D: 765 MW (Netto)
Block E: 764 MW (Netto)

","RWE Generation SE
","!551.6803065507.970194551° 40′ 49,1″ N, 007° 58′ 12,7″ O51.6803055555567.9701944444444
"
118,"Trianel GuD-Kraftwerk Hamm-Uentrop[104]
","850
","0
","Erdgas
","Hamm-Schmehausen
","Nordrhein-Westfalen Nordrhein-Westfalen
","GuD 10: 2008
GuD 20: 2008

","0!
","GuD 10: 417 MW (Netto)
GuD 20: 421 MW (Netto)

","Trianel Gaskraftwerk Hamm GmbH & Co. KG
","!551.6738895507.929167551° 40′ 26,0″ N, 007° 55′ 45,0″ O51.6738888888897.9291666666667
"
119,"Kraftwerk Hürth-Knapsack[105]
","1262
","0
","Erdgas
","Hürth-Knapsack
","Nordrhein-Westfalen Nordrhein-Westfalen
","GuD I: 2006
GuD II: 2013

","0!
","GuD I: 800 MW (Netto)
GuD II: 430 MW (Netto)

","Statkraft Markets GmbH
","N50° 51' 38.617 N, E6° 50' 13.736""
"
120,"Kraftwerk Hannover-Herrenhausen[106]
","120
","280 (davon 140 aus KWK)
","Erdgas
","Hannover-Herrenhausen
","Niedersachsen Niedersachsen
","1975
","0!2016 (Kaltreserve)
","102 MW (Netto)
im Moment nur noch Fernwärmeerzeugung und Steuerung diverser dezentraler Anlagen als virtuelles Kraftwerk

","enercity AG
","!552.3986115509.680556552° 23′ 55,0″ N, 009° 40′ 50,0″ O52.3986111111119.6805555555556
"
121,"Gasturbinenkraftwerk Hannover-Linden[107]
","255
","185
","Erdgas
","Hannover-Linden-Nord
","Niedersachsen Niedersachsen
","1962/1998/2013
","0!
","230 MW (Netto)
","enercity AG
","!552.3729175509.714194552° 22′ 22,5″ N, 009° 42′ 51,1″ O52.3729166666679.7141944444444
"
122,"Kohlekraftwerk Hannover-Stöcken[108]
(Gemeinschaftskraftwerk Hannover)

","300
","425
","Steinkohle
","Hannover-Stöcken
","Niedersachsen Niedersachsen
","Block 1: 1989
Block 2: 1989

","0!
","Block 1: 136 MW (Netto)
Block 2: 136 MW (Netto)

","enercity AG /Volkswagen Kraftwerke GmbH
","!552.4202785509.647508552° 25′ 13,0″ N, 009° 38′ 51,0″ O52.4202777777789.6475083333333
"
123,"Kraftwerk Hattorf[3]
","ca. 55
","?
","Erdgas
","Philippsthal
","Hessen Hessen
","Block 1: 2013
Block 2: 2013

","
","Block 1: 35 MW (Netto)
Block 2: 17 MW (Netto)
Eigenstrom- und Dampfversorgung für dem örtlichen Kalibergbau

","K+S AG
","
"
124,"Kraftwerk Hausham[109]
","112
","25
","Steinkohle: Kohleblock
Heizöl: GT 1, GT 2, GT 3, GT 4, Motor-HKW 1, Motor-HKW 2

","Hausham
","Bayern Bayern
","Kohleblock: 1963
GT 1: 1982
GT 2: 1982
GT 3: 1982
GT 4: 1982
Motor-HKW 1: 1987
Motor-HKW 2: 1990

","0!Kohleblock: 1983




","Kohleblock: 37 MW (Netto)
GT 1: 32 MW (Netto)
GT 2: 32 MW (Netto)
GT 3: 32 MW (Netto)
GT 4: 32 MW (Netto)
Motor-HKW 1: 6 MW (Netto)
Motor-HKW 2: 6 MW (Netto)

","Peißenberger Kraftwerksgesellschaft mbH
","
"
125,"Raffineriekraftwerk Heide[110]
","47
","?
","Erdgas
EBS (Mineralölprodukte, Raffineriegas)

","Hemmingstedt
","Schleswig-Holstein Schleswig-Holstein
","1962
","
","45 MW (Netto)
Eigenstrom- und Dampfversorgung der Raffinerie Heide

","Raffinerie Heide GmbH
","
"
126,"Heizkraftwerk Heidelberg[3]
","ca. 15
","?
","Erdgas
","Heidelberg
","Baden-Württemberg Baden-Württemberg
","2001
","
","14 MW (Netto)
","innogy SE
","
"
127,"Industriekraftwerk Heidenheim[3]
","ca. 20
","?
","Erdgas, Heizöl
","Heidenheim
","Baden-Württemberg Baden-Württemberg
","2014
","
","19 MW (Netto)
","Sales & Solutions GmbH
","
"
128,"Heizkraftwerk Heilbronn[111]
","1050
","390
","Steinkohle
Klärschlamm

","Heilbronn
","Baden-Württemberg Baden-Württemberg
","Block 1: 1950-60
Block 2: 1950-60
Block 3: 1950-60
Block 4: 1950-60
Block 5: 1965/2010
Block 6: 1966/2010
Block 7: 1985/2009

","2019!Block 1: 1988
Block 2: 1988
Block 3: 2006
Block 4: 2006
Block 5: 2015 (Netzreserve)
Block 6: 2015 (Netzreserve)
(Block 7: untersagt bis 1 Jahr nach Beginn der Engpassbewirtschaftung Deutschland/Österreich (1. Oktober 2018)[6], längstens bis 31. März 2020[1])

","Block 1: ca. 50 MW (Netto)
Block 2: ca. 50 MW (Netto)
Block 3: ca. 100 MW (Netto)
Block 4: ca. 100 MW (Netto)
Block 5: 125 MW (Netto)
Block 6: 125 MW (Netto)
Block 7: 778 MW (Netto)

","EnBW Energie Baden-Württemberg AG
","!549.1755315509.207553549° 10′ 31,9″ N, 009° 12′ 27,2″ O49.1755305555569.2075527777778
"
129,"Industriekraftwerk Herzberg[3]
","ca. 25
","?
","Erdgas
","Herzberg
","Niedersachsen Niedersachsen
","1978
","
","20 MW (Netto)
Eigenstrom- und Dampfversorgung der örtlichen Papierfabrik

","Smurfit Kappa Herzberger Papierfabrik GmbH
","
"
130,"Heizkraftwerk Helmshänger Berg[112]
","15
","125 (davon 28 KWK; ca. 90 MWh Wärmespeicher)
","Erdgas
","Greifswald
","Mecklenburg-Vorpommern Mecklenburg-Vorpommern
","1996
","
","14 MW (Netto)
","Stadtwerke Greifswald GmbH
","
"
131,"Kraftwerk Duisburg-Ruhrort[67]
(Kraftwerk Hermann Wenzel)

","244
","?
","Kuppelprodukte aus der Stahlerzeugung
Kokereigas
Gichtgas

","Duisburg-Laar
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block 1: 1955
Block 2: 1955
Block 3: 1963
Block 4: 1969

","0!Block 1: 2001



","Block 1: ca. 55 MW (Netto)
Block 2: 60 MW (Netto)
Block 3: 95 MW (Netto)
Block 4: 170 MW (Netto)
Eigenstrom- und Dampfversorgung für das ThyssenKrupp-Stahlwerk Schwelgern

","ThyssenKrupp Steel Europe AG
","!551.4596675506.730583551° 27′ 34,8″ N, 006° 43′ 50,1″ O51.4596666666676.7305833333333
"
132,"Cuno Heizkraftwerk Herdecke (Cuno-Kraftwerk)[3]
","424
","0
","Erdgas
","Herdecke
","Nordrhein-Westfalen Nordrhein-Westfalen
","H6: 2007
","0!
","H6: 417 MW (Netto)
","Mark-E AG
Statkraft Markets GmbH

","
"
133,"Kraftwerk Wintershall[3]
","110
","299
","Erdgas
","Heringen
","Hessen Hessen
","1970/2009
","0!
","69 MW (Netto)
Nutzt auch Dampf von benachbarter Müllverbrennungsanlage

","K+S AG
","
"
134,"Heizkraftwerk Herne[113]
","511
","550
","Steinkohle: Blöcke 1, 2, 3, 4, 5
Erdgas: Block 6

","Herne
","Nordrhein-Westfalen Nordrhein-Westfalen
","Block 1: 1962/63Block 2: 1962/63Block 3: 1966Block 4: 1989/2013
Block 5: nicht realisiert
(Block 6: 2022)

","Block 1: 2000Block 2: 2013Block 3: 2017



","Block 1: 133 MW (Netto)
Block 2: 133 MW (Netto)
Block 3: 280 MW (Netto)
Block 4: 449 MW (Netto)
Block 5: 800 MW (Netto)
Block 6: GuD-Block mit ca. 600 MWel und 400 MWth im Bau[114]

","Steag GmbH
","!551.5506565507.187575551° 33′ 02,4″ N, 007° 11′ 15,3″ O51.5506555555567.187575
"
